Game,Achievements,Percent Complete,Genre
Fable III,5/50,10.00%,RPG
Call of Duty: WWII,1/50,2.00%,First-person shooter
Dead Space (2008),1/48,2.00%,Survival Horror
Destiny 2,9/13,69.00%,Looter-Shooter / RPG
ROBLOX,8/11,73.00%,Sandbox
Destiny,45/60,75.00%,Looter-Shooter / RPG
Call of Duty 4: Modern Warfare,9/37,24.00%,First-person shooter
Minecraft: Xbox One Edition,53/87,61.00%,Sandbox
Titanfall 2,37/50,74.00%,First-person shooter
Watch_Dogs,1/38,3.00%,Action-Adventure
Halo 5: Guardians,9/65,14.00%,First-person shooter
NBA 2K17,12/49,24.00%,Sports
Heavy Weapon,3/12,25.00%,Shooter
Ryse: Son of Rome,4/58,7.00%,Action-Adventure
Call of Duty: Ghosts,3/50,6.00%,First-person shooter
Watch_Dogs2,23/49,47.00%,Action-Adventure
Borderlands: The Pre-Sequel,12/53,23.00%,Looter-Shooter / RPG
Warframe,6/39,15.00%,Shooter / RPG
Minecraft: Xbox 360 Edition,32/50,64.00%,Sandbox
Portal 2,1/50,2.00%,Puzzle / Platformer
Assassin's Creed II,26/50,52.00%,Action-Adventure
NBA 2K14 (Xbox 360),6/50,12.00%,Sports
Grand Theft Auto V (Xbox 360),4/49,8.00%,Action-Adventure
Sonic Free Riders,1/50,2.00%,Racing
NBA 2K13,6/50,12.00%,Sports
Dungeon Defenders,1/12,8.00%,Tower Defense / RPG
Dance Central 3,2/45,4.00%,Music
Madden NFL 13,5/42,12.00%,Sports
Sonic Adventure,1/12,8.00%,Platformer
Halo 3,6/49,12.00%,First-person shooter
Ultimate Marvel vs. Capcom 3 (Xbox 360),10/47,21.00%,Fighting
Call of Duty 2,1/13,8.00%,First-person shooter
Grand Theft Auto IV,2/50,4.00%,Action-Adventure
Battlefield 3,4/38,11.00%,First-person shooter
LEGO Batman2: DC Super Heroes,23/37,62.00%,Action-Adventure
NBA 2K12,4/50,8.00%,Sports
Marvel vs. Capcom 3: Fate of Two Worlds,20/47,43.00%,Fighting
Super Street Fighter IV,3/50,6.00%,Fighting
Major League Baseball 2K12,2/50,4.00%,Sports
Forza Motorsport 3,2/50,4.00%,Racing
Halo: Reach,5/49,10.00%,First-person shooter
Dragon Ball Z: Ultimate Tenkaichi,20/49,41.00%,Fighting
Kung Fu Panda,7/39,18.00%,Action-Adventure
Call of Duty: Modern Warfare 3,17/50,34.00%,First-person shooter
Kinect Sports,17/50,34.00%,Sports / Party Game
Batman: Arkham Asylum GOTY,7/47,15.00%,Action-Adventure
Madden NFL 25 (2013) (Xbox 360),7/41,17.00%,Sports
